time,location,dissolved_oxygen
1978-01-01T00:00:00Z,CalCOFI 93.30,3.07
1978-02-01T00:00:00Z,CalCOFI 93.30,2.58
1978-03-01T00:00:00Z,CalCOFI 93.30,2.59
1978-04-01T00:00:00Z,CalCOFI 93.30,NaN
1978-05-01T00:00:00Z,CalCOFI 93.30,1.94
1978-06-01T00:00:00Z,CalCOFI 93.30,2.84
1978-07-01T00:00:00Z,CalCOFI 93.30,NaN
1978-08-01T00:00:00Z,CalCOFI 93.30,2.28
1978-09-01T00:00:00Z,CalCOFI 93.30,NaN
1978-10-01T00:00:00Z,CalCOFI 93.30,NaN
1978-11-01T00:00:00Z,CalCOFI 93.30,NaN
1978-12-01T00:00:00Z,CalCOFI 93.30,NaN
1979-01-01T00:00:00Z,CalCOFI 93.30,NaN
1979-02-01T00:00:00Z,CalCOFI 93.30,NaN
1979-03-01T00:00:00Z,CalCOFI 93.30,NaN
1979-04-01T00:00:00Z,CalCOFI 93.30,NaN
1979-05-01T00:00:00Z,CalCOFI 93.30,NaN
1979-06-01T00:00:00Z,CalCOFI 93.30,NaN
1979-07-01T00:00:00Z,CalCOFI 93.30,NaN
1979-08-01T00:00:00Z,CalCOFI 93.30,NaN
1979-09-01T00:00:00Z,CalCOFI 93.30,NaN
1979-10-01T00:00:00Z,CalCOFI 93.30,NaN
1979-11-01T00:00:00Z,CalCOFI 93.30,NaN
1979-12-01T00:00:00Z,CalCOFI 93.30,NaN
1980-01-01T00:00:00Z,CalCOFI 93.30,NaN
1980-02-01T00:00:00Z,CalCOFI 93.30,NaN
1980-03-01T00:00:00Z,CalCOFI 93.30,NaN
1980-04-01T00:00:00Z,CalCOFI 93.30,NaN
1980-05-01T00:00:00Z,CalCOFI 93.30,NaN
1980-06-01T00:00:00Z,CalCOFI 93.30,NaN
1980-07-01T00:00:00Z,CalCOFI 93.30,NaN
1980-08-01T00:00:00Z,CalCOFI 93.30,NaN
1980-09-01T00:00:00Z,CalCOFI 93.30,NaN
1980-10-01T00:00:00Z,CalCOFI 93.30,NaN
1980-11-01T00:00:00Z,CalCOFI 93.30,NaN
1980-12-01T00:00:00Z,CalCOFI 93.30,NaN
1981-01-01T00:00:00Z,CalCOFI 93.30,NaN
1981-02-01T00:00:00Z,CalCOFI 93.30,NaN
1981-03-01T00:00:00Z,CalCOFI 93.30,NaN
1981-04-01T00:00:00Z,CalCOFI 93.30,NaN
1981-05-01T00:00:00Z,CalCOFI 93.30,2.15
1981-06-01T00:00:00Z,CalCOFI 93.30,NaN
1981-07-01T00:00:00Z,CalCOFI 93.30,NaN
1981-08-01T00:00:00Z,CalCOFI 93.30,NaN
1981-09-01T00:00:00Z,CalCOFI 93.30,NaN
1981-10-01T00:00:00Z,CalCOFI 93.30,NaN
1981-11-01T00:00:00Z,CalCOFI 93.30,NaN
1981-12-01T00:00:00Z,CalCOFI 93.30,NaN
1982-01-01T00:00:00Z,CalCOFI 93.30,NaN
1982-02-01T00:00:00Z,CalCOFI 93.30,NaN
1982-03-01T00:00:00Z,CalCOFI 93.30,2.4666667
1982-04-01T00:00:00Z,CalCOFI 93.30,NaN
1982-05-01T00:00:00Z,CalCOFI 93.30,NaN
1982-06-01T00:00:00Z,CalCOFI 93.30,NaN
